comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg,Catg  
Es un desfile o quienes son las de un lado,5.0,5.0,10.0,55.0,5.0,50.0,27.25,1.0,
Su plan de coructo este sinbewensa,5.0,30.0,5.0,5.0,5.0,5.0,46.0,0.0,
Después que le dan palo a Estados Unidos quieren ir a meterse ahi,5.0,15.0,5.0,5.0,5.0,40.0,39.5,0.0,
Habla con Tuto para que te atiendan,5.0,5.0,5.0,5.0,5.0,10.0,40.5,0.0,
Comediante,5.0,5.0,5.0,5.0,5.0,10.0,40.5,0.0,
"Son una vergüenza, especialmente Lara, tuto presidente",,,,,,,,,
Eso quiere desir que no puedes gobernar qué vergüenza ante de nada ya nos quieren vendernos,50.0,60.0,5.0,5.0,10.0,10.0,62.25,0.0,
TUTO PRESIDENTE,5.0,5.0,80.0,5.0,5.0,5.0,52.25,0.0,
Bla bla bla ya ni ellos saben lo que hablan 😂😂😂,80.0,30.0,5.0,5.0,5.0,0.0,65.25,0.0,
Estas mal paz resta votos,100.0,90.0,10.0,5.0,0.0,0.0,83.5,-1.0,
Pero no tiene propuestas 🥱,10.0,90.0,0.0,5.0,0.0,0.0,59.5,0.0,
A EEUU pero el creo no quiera saber de EEUU todo quiere hacer pero no le va bien,5.0,5.0,5.0,5.0,0.0,0.0,42.0,0.0,
Jajaja no les queda de otra que poco a poco ir copiando las idea que tiene TUTO,5.0,5.0,5.0,5.0,5.0,0.0,41.5,0.0,
Confiamos en Rodrigo,5.0,5.0,80.0,5.0,5.0,5.0,52.25,0.0,
A Cuba o Venezuela deberíá ir como izquierdista a EE.UU.ván los de la derecha .,40.0,40.0,90.0,5.0,0.0,0.0,70.5,-1.0,
Pero vas donde los gringo por que no vas a cuba pue,40.0,50.0,5.0,5.0,5.0,0.0,59.25,0.0,
Meldaaaa que en un prlotudoooooo,90.0,90.0,5.0,5.0,5.0,0.0,79.75,-1.0,
"Parte de esa deuda tu has aprovechado de Tarija, no tienes vergüenza.",100.0,90.0,0.0,5.0,5.0,0.0,81.5,-1.0,
Éste no tiene ni idea cómo se hace un negociado internacional 🤣,5.0,30.0,5.0,5.0,5.0,0.0,46.5,0.0,
Dónde están los que dicen odiar al imperio,80.0,90.0,0.0,5.0,5.0,0.0,76.5,-1.0,
Tuto Presidente,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
"Y estan de acuerdo con eso de que conozcan su plan de gobierno los del IMPERIO las organizaciones sociales, ponchos rojos, mi… Ver más",5.0,30.0,5.0,5.0,5.0,5.0,46.0,0.0,
Esperemos que Paz no diga una burrada o nos buscará bronca con EEUU,30.0,60.0,5.0,5.0,10.0,0.0,58.25,0.0,
Ejor ni vaya solo hace hechar a perder las relaciones internacionales ojalá se friegues el avión Dios nos guarde de estos dos … Ver más,20.0,90.0,0.0,5.0,0.0,0.0,62.0,0.0,
Pero si sos socialista a qué vas al imperialismo.,30.0,30.0,80.0,5.0,5.0,30.0,61.0,0.0,
"A nadie lee importa, Tuto Presidente",5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
Su plan pirata... Alla ira a vueltear y dorar la pildora cuando le pregunten algo?,70.0,80.0,0.0,5.0,5.0,0.0,72.0,-1.0,
Que va hacer el capitán va presentar su reforma de la policía....?,10.0,5.0,10.0,10.0,5.0,5.0,42.0,0.0,
Mestas deseccionando rodrigo,70.0,80.0,0.0,5.0,5.0,0.0,72.0,-1.0,
No le dará vergüenza llevar un programa hecho con Chatgpt?,40.0,50.0,70.0,10.0,5.0,5.0,67.5,-1.0,
Adelante RODRIGO PAZ PRESIDENTE Y EDMAN LARA VICEPRESIDENTE 💪🇧🇴🇧🇴,10.0,10.0,90.0,5.0,10.0,10.0,55.0,0.0,
Al imperio al que se jactan dándole palo pobre llumku mejor que se baje es un perjuicio este tipo,80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
Miren al cara de gárgola hablando.,85.0,80.0,60.0,5.0,5.0,5.0,84.25,-1.0,
Que le pida a chat gpt qué también defienda su plan,30.0,40.0,80.0,10.0,5.0,5.0,64.5,0.0,
No tiene plan pará bolivia está vacío el hombre,30.0,40.0,80.0,10.0,5.0,5.0,64.5,0.0,
Cual si no hay todo es improvisado TUTO PRESIDENTE,30.0,40.0,80.0,10.0,5.0,5.0,64.5,0.0,
Paz paz presidente Lara vice presidente 🙏,10.0,10.0,90.0,5.0,10.0,5.0,55.5,0.0,
Y porque no presenta su pr… Ver más,10.0,5.0,10.0,5.0,5.0,5.0,43.0,0.0,
Es con capacidad TUto presidente 🇧🇴,10.0,10.0,90.0,5.0,5.0,5.0,56.0,0.0,
"Qué les vaya a pedir a los gringos, como él los llama, a ver cómo le va.",80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
"Mmm ,va ir a Estados Unidos a presentar propuesta que ni en su programa de gobierno existe ,ni hizo su tarea ,seguro recién h… Ver más",80.0,85.0,60.0,5.0,5.0,5.0,84.0,-1.0,
TUTO PRESIDENTE,10.0,10.0,90.0,5.0,5.0,5.0,56.0,0.0,
Primero que presente a los Bolivianos.,10.0,10.0,90.0,50.0,5.0,5.0,47.0,0.0,
Este no sabe que va aser si no puede con el manejo de la alcaldia ..peor .con el gobierno ...asi que no es confiable .,80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
Cual? El que le hizo chatgpt,30.0,30.0,30.0,10.0,10.0,5.0,54.5,0.0,
Rodrigo note en sucies eso quieren qe vaya al estados unidos qe hay qe asen osea van a encontrar con esa gringo o qe,80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
"Presentará en EEUU, pero, en Bolivia presentó otro plan, y socialista.",80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
Tras los pasos del Maestro.… Ver más,10.0,10.0,90.0,5.0,10.0,5.0,55.5,0.0,
este tipo es un payaso,85.0,85.0,30.0,5.0,5.0,5.0,80.75,-1.0,
Cómo capitalismo si están prometiendo bonos para todos y de todo tipo... 😂😂😂😂😂😂,,,,,,,,,
"No, a los gringos no por favor, primero veamos cuanta platita tenemos, así decía nove? No nesecitamos a los gringos",80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
Ni en Bolivia ha presentado una propuesta de gobierno 😜,80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
"Cual propuesta, va ir a decir que va dar papeles a vehículos robados, ni un iphone 11 le van a dar, con ese programa de gobier… Ver más",85.0,85.0,70.0,5.0,5.0,5.0,86.75,-1.0,
"Llévalo al lengua larga, total, él siempre mete la pata y vos lo justificas!!!!",85.0,85.0,70.0,5.0,5.0,5.0,86.75,-1.0,
Pero q no lo haga de nuevo con inteligencia artificial,30.0,30.0,30.0,10.0,5.0,5.0,55.0,0.0,
TUTO PRESIDENTE ❤❤❤❤,,,,,,,,,
Ya lo hizo en IA,80.0,85.0,70.0,5.0,5.0,5.0,85.5,-1.0,
Es un masiburro,85.0,85.0,20.0,5.0,5.0,5.0,79.25,-1.0,
"Lo triste y muy preocupante es cuando ban a consultar donde su amo tio sam, para que les digan a los dos candidatos que es lo … Ver más",85.0,85.0,70.0,5.0,5.0,5.0,86.75,-1.0,
A presentar a EEUU ? o a organismos internacionales de financiamiento?,0.0,5.0,40.0,20.0,10.0,15.0,40.5,0.0,
Tuto presidente,10.0,10.0,60.0,20.0,10.0,15.0,47.0,0.0,
GALLINA MIRISTA FIGURETI,40.0,40.0,10.0,0.0,5.0,5.0,58.5,0.0,
Rodrigo noooo,10.0,10.0,5.0,0.0,0.0,0.0,45.25,0.0,
Otro sin sentido de este candidato,10.0,10.0,5.0,0.0,0.0,0.0,45.25,0.0,
No tiene verguenza,10.0,50.0,10.0,0.0,5.0,5.0,53.0,0.0,
No a privatizacion noooooo..ninguno,85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0,
"Pero Kiko debía decir de frente cuanto vale Bolivia y a qué precio quiere vender ,",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
"""¡Un activistas independiente sin color político con voz propia comprometido con el progreso regional y nacional.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Tuto Quiroga cuánto cobras x los puestos como diputada estoy interesada 🤣,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0,
Quico me tienes arto por q no vas a la m,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
"Es impresionante la devoción. Ya nada me sorprendería, hasta capaz que un día lo oímos debatir si Evo nació de un huevo o no.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
"Qué va a debatir Rodrigo Paz si tiene todo charlado con la mafia azul, el trato dejar los juicios a cambio de votos, así se juega con la justicia y la economía de Bolivia",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Que quieren dé Evo murales el no está solo Evo es el mejor presidente de la estoria de bolivia,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
Está sanguijuela está desesperada....,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Los masistas siempre van hablar mal de tuto,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
"sinceramente, el pueblo no quiere saber de políticos pasados, sino de estrategias y acciones que resuelvan la crisis económica del pais que afecta a las familias bolivianas, tambien garantizar las fuentes laborales, abrir nuevos espacio de trabajo, fortalecer la formación de nuestros jovenes y fomentar la investigacion, actualización cientifica en el pais, como tambien la tecnología, valorar y no dejar escapar a profesionales de calidad que tienen iniciativas reales y contextualizadas. es necesario atender al pueblo, satisfacer las necesidades del pueblo y no desviar las prioridades con discursos vánales y distractorios, esa es una forma de matar de hambre al pueblo...",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Este tutu nose olvida d su papi evo 🤣🤣🤣🤣,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
"Cuál debate si este Kiko el único proyecto q tiene es presentarse dinero del FMI , eso es todo .",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Seguro Paz no va aceptar se va a correr,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
. No hay propuestas,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Tuto presidente 🇧🇴,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Este abuelo solo sabe ablar de su macho Evo es lo único que ase,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Quere devatir como ayque rrobar eso seguro en eso devate el tutu puede ganar,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0,
Quiere debatir su programa de gobierno que es Evo kkk,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Que tiene que ver Evo en este baile,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
KIKO ubicate,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
"La carencia de propuestas serias de gobierno, por desesperación debe desafiar y hablar de Evo para sostenerse su frívola y pauperrima candidatura.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
"Hay que jubilarlo a este, al igual como jubilamos a Doria Medina y Manfred",75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
Enamorado este kikin de Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Quico está jale super enamorado de EVO,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
La misma soberbia de Arturo Murillo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Si te tiene arto no lo mires y listo,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
"De que va desglosar Sr. Tutito de los Petrocontratos, o sino de como ayudo a escapar al Tirano x Río Abajo en 2019...",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Eso es guerra sucia para Larii,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Kiko solo habla de su macho Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Tuto presidente...,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0,
Este no tiene más q evo párese enamorado del cocalero,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Que solucion daria este tipo solo va privatizar las estatales y luego a el no le importa nada nuestra gente del campo,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Solo los flojos e ignorantes votarán por el PDC,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
Este hombre como Manfred viven y duermen con Evo todo el tiempo piensan en Evo en vez de plantear cosas buenas solo Evo piensa,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Sino bas ganar bas escapar del País cajo tuto,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
Parece q este señor tuto se olvida de propuesta. Como si metiendole a evo a la carcel nos mejorara la economia.,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Va a eludir porque no tiene formacion es populista,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Con mucho respeto Tuto quieres ser presidente por que no pensas como sacar a Bolivia adelante sin endeudar a Bolivia con FMI más estas preocupado con Evo si era tu amigo usted lo saco del país en 2019 hablas de corrupción si vos viviste con la corrupción toda tu vida política no seas sinvergüenza tuto y así quieres ser presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Ya fuiste Kiko nadie vas debatir con vos,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
"Para este cachete lo más importante es Evo,por no decir debatamos como salir de esta crisis en lo que estamos todo los precios está sobre las nubes y el sueldo no alcanza",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Maleante,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Rodrigo ya no sabe cómo evadir hablar de su jefe supremo Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
HIPOCRESÍA TUTO QUIROGA ES CANDIDATO GRACIAS A EVO MORALES QUIEN LE PERDONO LOS CONTRATOS PETROCONTRATOS BILLONARIOS QUE DEBÍA AL ESTADO BOLIVIANO EL KIKO Y EVO LE DIO LA AMNISTÍA Y GRACIAS A ESO ES CANDIDATO SINOS ESTARIA EN LA CÁRCEL Y POR SI FUERA POCO HASTA PERDIO LA SALIDA AL MAR EN EL JUICIO DE LA HAYA,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0,
Tuto vas a perder la patria nesecita gente nueva y no un dinosaurio político . De los pocos que tienen oportunidad de servir a la PATRIA algunitos hacen buena gestión el tuyo fue con mucha sangre,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Este sujeto está enamorado de evo,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Rodrigo,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
Tutito no es de Bolivia....es una oportunista.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Nunca discutas con un tonto ya que te bajara a su nivel y por su experiencia te ganara....,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
Rodrigo no quiere hablar de su jefe Evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
"Vamos hasta lograr Bolivia Libre, Democrática y Soberana 🇧🇴🇧🇴🇧🇴",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Evo es todo!!!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
TUTO PRESIDENTE,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
"Claro como no tiene programa de gobierno , entonces tiene que buscar estas cosas, como defrauda a la gente de clase popular",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
No hay debate de Evo si vas hablar de la gente humilde de una,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
"Que desesperación, ya debería estar haciendo reservaciones para irse a EEUU",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
"Que tuto rete a los de su tamaño, a Manfred y al del ADN.",75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0,
Es con TUTO QUIROGA. El estadista que tiene un plan para el progreso de Bolivia y los bolivianos.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
"Anda re trauamadito con evo, parece que más al contrario es fanático de evo evo evo y evo solo menciona ese nombre.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
evo tu maestro,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
Cachetón Tuto parásito dinosaurio privatizador de agua mejor estate calladito sanguinario golpista élite del gobierno de Banzer y del gobierno de facto Añez.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
TODOS APOYEMOS A DE RODRIGO PAZ,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
"Sin EVO no es nada el asTuto , por éso habla cada día de EVO",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Para éste corrupto neoliberal....piensa que la prioridad es Evo Morales .....cuando existe situación urgentes para priorizar como el asunto de crisis profunda que vive el ...País....caso Moreles es un situación de la justicia y no así del poder politico,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Tuto ya fue señores....!!! Tantos años fuera del país no se le quito lo vulgar o este tipo de personaje atrae gente? Porque política o propuestas políticas no ofrece solo se me oye su sed de vengaza. sabe lo que es?. Campeón de los paradorcitos sin vergüenzas ahí si gana. Aunque a todos ya los hizo olvidar los cargos responsabilidades q tiene desde q fue gobierno con banzer luego con añez ahhh y el tumbe del banco fassil. A este tipo apoyan??? Q pena de verdD,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Rodrigo se orina al hablar de evo🤣🤣,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
NERVIOSO DESESPERADO... TUTO SABE QUE VA HA PERDER.... SU TEMBLEQUE LO DICE..,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Hector Mamani Estos Laris no entienden.. Ja jajjjj,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Igual no vas a ser presidente Mostrenco,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Tuto presidente,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0,
"Tuto Quiroga ya, debería renunciar a, su renta vitalicia..... Ya, no, más polémica",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Le falta coca a esos cachetes..,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
TUTO PRESIDENTEEEEEEEEEEE!!! Unicoooooo Genteeee!! Ya no mas Isquierdista Socialista como el PDC de Rodrigo Paz!!,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
Quiko está cada ves más desesperado por qué sabe que el pueblo Boliviano no votará por el,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Cuando no hay propuesta claro la solución es debatir de evo por mas que sea lo que dicen ya no tiene sentido cuando en la presidencia no tendra su gente peor ni partido tiene 🤣🤣,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
El evo no sta gobernando,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
En Tarija debajo del puente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Se nota muy cansado 😩,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Mejor que de batán sobre el violador ambulante de Ratacora jajajajaja,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
Me tiene arto con eso del Evo estás sanguijuelas a quien le importa Evo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Todos hablan de Evo y que hay de catacora y todos los que robaron al estado lo banco fassil lo de banco unión la gestora quien fue que prestó plata a banco fassil caso ypfb fondo indígena lo del mutun lo de la reina del norte,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Tuto privatizador mi voto es no,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
Y tambien hablen sobre los bancos desaparecidos...asi de FASSIL gggg,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0,
"EL DINOSAURIO GORGE TUTO QUIROGA RAMÍREZ ESTÁ ENAMORADO DE EVO DIA Y NOCHE EVO SIN EVO NO PUEDE VIVIR ES SU AMOR PLATÓNICO. ,😂🤣",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
"No asustas Rodrigo, lo mandas a la m...... Y punto.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Oh es que tuto quiere eso ???,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
TUTO PRESIDENTE!!!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Tuto no puede hacer nada sin Evo quiere usarlo a Evo para su campaña,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
Idiota... Q vaya a debatir con trumph,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
TUTO SERÁ PRESIDENTE POR EL VOTO CONSCIENTE E INTELIGENTE DE LA LINDA GENTE DE BOLIVIA!!!!,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Sin hablar de Evo no puede estar ni un día este privatizador Kikin,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
El tema tiene q ser preciso y de cara a la crisis económica social y tema de los recursos naturales eso tiene q debatir no hablar de un maleante como lo es el pedofilo de Evo morales ayma debatan algo interesante y no metiendo a un violador profugo de la justicia,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
https://www.facebook.com/share/v/14JF1iBuhCA/,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
"Es con Tío Tuto Señores, se obtendrá más seriedad y responsabilidad ante la crisis galopante que nos dejó el masismo🤨🧐🤷🏻‍♂️🧠🤝🏻💪🏻💪🏻🥇🇧🇴🇳🇬🤍❤️💙🎖️🥥🧉🫖📿",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
"""Todo está en manos de Evo Morales.""",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
#TutoPresidente2025,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0,
El pueblo soberano boliviana y Bolivianos sabemos votar por jorge tuto Quiroga Ramirez ES EL LADRÓN ENTRA A ROBAR TODO NUESTRO REQUIZA NUESTRO LITIO VENDÉR A ... ESTADOS UNIDOS...NO VOTAR POR LADRÓN,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
https://www.facebook.com/share/v/1W1HVbdsiv/,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
Tuto solo se preocupa de Evo ...si sigues asi ....restaras mas votos ...,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0,
Y debatir del sueldo q ganas del estado por estarte rascando las pelotas no quieres verdad,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
#TutoPresidente,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
Este facho golpista sueña con Evo .almuerza .desayuna cena.con Evo .porq.no lo hace para su marido y así estará más feliz .,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
"Guerra sucia de Tutito, TUTO que responda por la enajenación de Yacimientos y los PETROCONTRATOS. Evo dictó un D.S. ilegal de ANMISTIA PARA TUTO, ahora ambos tienen que ir del brazo a la cárcel. https://www.facebook.com/share/r/1GtiCbhTax/",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
"AsTuto guardian de la bragueta de Evo, vive soñando con el, día y noche",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
Que estupideses dicen vuelve EVO PRESIDENTE,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0,
ANDA TRABAJA GOLPISTA EL PRESIDENTE YA ES EL ELEGIDO POR LOS BOLIVIANOS EL LIC RODRIGO PAZ PEREIRA,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0,
ESTE GOLPISTA EL 17 DE AGOSTO DEL AÑO 2025 EL PUEBLO BOLIVIANO LO APLAZO PORQUE LO CONOCE BIEN,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0,
https://eju.tv/2010/09/los-descubridores/?sfnsn=wa&fbclid=IwZXh0bgNhZW0CMTEAAR0B693-NX1dIib5Aua83S-icxsUcdhNSEucXyMWLgFAunGtG0XKJXzF7Ug_aem_PfcxAWEm9SVgSjyHdzqLNw,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0,
TUTO PRESIDENTE 🇧🇴 🙌,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0,
"RODRIGO PAZ Y EL CAPITAN LARA , SEGUROS GANADORES SEGUNDA VUELTA LUCHARAN CONTRA LA CORRUPCION, CORRUPTOS A LA CARCEL",25.0,20.0,75.0,60.0,65.0,55.0,37.5,0.0,
"ESE ES EL GRAN PRESIDENTE, CON AUTORIDAD, CAPACIDAD Y AMOR A SU PATRIA EL QUE TODA BOLIVIA PIDE A GRITOS TUTO PRESIDENTE URGENTE VAMOS BOLIVIAAAA 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴",20.0,15.0,80.0,65.0,70.0,60.0,34.0,0.0,
Solo los MASISTAS ANIMALES votarán x LARI Y PAZ,65.0,70.0,75.0,20.0,15.0,10.0,75.0,-1.0,
Bien carajo así se habla tuto,35.0,30.0,70.0,45.0,40.0,35.0,48.75,0.0,
"Que bueno eso nos traera Combustible y dólares,trabajo para todos🙄 esas promesas solo les interesa a los extremistas que viven de la política y por algo existe un presidente del Tribunal de Justicia y la Fiscalia y las leyes ademas de la policia que de callado deben ejevutar dicha orden sin pedir permiso del organo ejecutivo al parecer seguiremos con el sometimiento de la justicia al son del gobierno de turno,que lamentable.",45.0,40.0,70.0,45.0,40.0,35.0,53.25,0.0,
"Todos le tienen miedo a Evo,o será la bronca porque no le dio bola",40.0,35.0,70.0,40.0,35.0,30.0,53.0,0.0,
Con esto cuántos votos ya estará perdiendo kico 😁😁😁,45.0,40.0,65.0,30.0,25.0,20.0,58.5,0.0,
Por favor tuto a la cárcel a Evo y mi voto para ti,35.0,30.0,75.0,45.0,40.0,35.0,49.5,0.0,
Bravooo!!!,20.0,15.0,65.0,55.0,60.0,50.0,35.75,0.0,
Aaah pensabamos que lo iba ayudar de nuevo como en el 2019.,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0,
Ver para creer dijo un ciego..... (dudo mucho que lo haga),35.0,30.0,65.0,35.0,30.0,25.0,52.0,0.0,
Está desesperado por q si pierde no sabrá de q vivir el vago,50.0,55.0,65.0,25.0,20.0,15.0,64.75,0.0,
